GLITTER4.4.4: Laser Ablation Analysis Results

\\shares.ad.jcu.edu.au\ri\AAC_General\ICP\TraceCassiterite_Jason23-11-17.msws Iso.prn
Created: Thu Nov 23 18:08:01 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,NIST612-1,NIST612-2,NIST612-3,NIST610-1,NIST610-2,NIST610-3,Bischoff_2a_T1,Bischoff_2a_T2,Bischoff_2a_T3,Bischoff_2a_T4,Bischoff_2a_T5,Bischoff_2a_P1,Bischoff_2a_P2,Bischoff_2a_P3,Bischoff_2a_P4,Bischoff_2a_P5,Bischoff_2a_P6,Bischoff_2a_P7,Bischoff_2a_P8,Bischoff_2a_P9,Bischoff_2a_P10,Bischoff_2a_P11,Bischoff_2a_P12,Bischoff_2a_P13,Bischoff_2a_P14,Bischoff_2a_P15,Bischoff_2a_P16,Bischoff_2a_P17,Bischoff_2a_P18,NIST612-4,NIST612-5,NIST612-6,NIST610-4,NIST610-5,NIST610-6
Co59,3.43,3.45,3.15,35.26,34.01,33.22,0.75,0.87,1.10,1.02,1.08,0.75,0.70,0.66,0.76,0.65,0.71,0.67,0.79,0.63,0.70,0.72,0.75,0.79,0.71,0.69,0.77,0.75,0.77,4.53,3.81,4.24,46.15,43.91,43.13
Ni60,4.92,4.90,4.55,50.42,48.85,47.05,7.24,8.54,8.94,8.42,10.23,7.07,7.16,6.40,6.33,5.75,6.42,6.15,6.63,6.73,6.08,6.45,6.92,7.13,6.79,6.08,6.94,7.36,6.97,6.19,4.85,5.47,61.26,57.72,57.38
Cu65,3.77,3.89,3.61,39.33,38.77,38.23,0.86,1.22,2.40,2.58,2.31,0.78,0.77,0.79,0.79,0.78,0.86,0.91,0.89,0.90,0.87,0.82,0.83,1.07,0.98,0.85,0.89,1.00,0.85,4.45,3.91,4.26,45.15,43.92,42.60
Zn66,3.29,3.32,3.24,39.14,38.64,38.62,0.31,0.74,1.48,1.15,2.06,0.29,0.28,0.28,0.32,0.33,0.31,0.31,0.28,0.32,0.31,0.31,0.32,0.96,0.35,0.30,0.31,0.39,0.29,4.17,3.73,4.02,42.70,41.63,41.51
Ga71,2.02,1.99,1.86,20.78,20.38,20.26,6.30,8.69,1.60,1.52,6.41,3.50,7.76,8.56,9.04,0.67,4.08,6.25,0.81,1.85,2.72,3.33,3.28,0.28,0.23,0.69,0.91,1.43,0.25,2.27,1.96,2.16,23.54,23.13,23.15
Ge72,2.51,2.50,2.31,24.69,24.08,23.68,0.47,0.58,1.23,1.19,1.01,0.45,0.41,0.42,0.41,0.41,0.44,0.43,0.45,0.42,0.43,0.40,0.42,0.54,0.45,0.42,0.46,0.51,0.42,2.98,2.62,2.94,30.39,29.58,29.67
As75,7.38,7.36,6.75,64.89,63.73,62.82,0.36,0.48,0.92,0.82,0.75,0.29,0.24,0.24,0.25,0.27,0.27,0.26,0.31,0.29,0.25,0.29,0.25,0.34,0.29,0.27,0.28,0.29,0.26,7.82,6.56,7.38,64.86,63.37,63.00
Rb85,1.30,1.31,1.26,15.32,15.29,15.17,0.019,0.022,0.037,0.076,0.032,0.016,0.018,0.014,0.014,0.014,0.015,0.020,0.018,0.017,0.015,0.016,0.015,0.020,0.015,0.016,0.018,0.020,0.016,1.39,1.24,1.37,16.76,16.54,16.56
Sr88,3.25,3.26,3.11,18.28,18.24,18.14,0.0043,0.0098,0.048,0.037,0.042,0.0053,0.0053,0.0055,0.0052,0.0057,0.0039,0.0047,0.0059,0.0040,0.0034,0.0035,0.0034,0.014,0.0058,0.0057,0.0065,0.0085,0.0059,3.36,3.00,3.40,20.10,19.84,19.82
Y89,1.60,1.62,1.54,16.19,16.11,15.98,0.0050,0.0013,0.035,0.0022,0.053,0.0042,0.0052,0.0056,0.0032,0.0034,0.0040,0.0053,0.0059,0.0037,0.0029,0.0046,0.0034,0.0074,0.0047,0.0016,0.0059,0.0051,0.0040,1.61,1.42,1.63,17.53,17.31,17.33
Zr90,1.65,1.65,1.58,16.27,16.22,16.03,4.47,5.92,6.14,3.50,3.92,2.75,3.60,4.33,5.48,2.50,3.77,3.07,4.80,4.68,5.36,6.26,7.62,3.81,3.19,2.90,2.81,6.96,2.31,1.67,1.47,1.69,17.79,17.58,17.59
Nb93,1.57,1.58,1.50,16.54,16.45,16.21,0.55,0.026,0.081,0.13,0.0022,0.0065,0.0035,0.0031,0.0083,0.019,0.029,0.018,0.031,0.0031,0.0044,0.0037,0.0040,0.71,0.79,0.28,0.045,0.14,0.77,1.72,1.53,1.73,18.95,18.70,18.69
