SPOT_ID,SAMPLE,LOCALITY,STYLE,Date LAICP,IS,Element,Sc45,Ti49,Mn55,Fe57,Ga69,Y89,Zr90,Nb93,Sn119,Sb121,Ce140,Yb173,Hf178,Ta181,W183,Pb208,Th232,U238,Sc45_Int2SE,Ti49_Int2SE,Mn55_Int2SE,Fe57_Int2SE,Ga69_Int2SE,Y89_Int2SE,Zr90_Int2SE,Nb93_Int2SE,Sn119_Int2SE,Sb121_Int2SE,Ce140_Int2SE,Yb173_Int2SE,Hf178_Int2SE,Ta181_Int2SE,W183_Int2SE,Pb208_Int2SE,Th232_Int2SE,U238_Int2SE,Sc45_LOD,Ti49_LOD,Mn55_LOD,Fe57_LOD,Ga69_LOD,Y89_LOD,Zr90_LOD,Nb93_LOD,Sn119_LOD,Sb121_LOD,Ce140_LOD,Yb173_LOD,Hf178_LOD,Ta181_LOD,W183_LOD,Pb208_LOD,Th232_LOD,U238_LOD
star trek-2-4 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-101,<1.14,<3.18,<1.17,300.29,1.55,<0.055,11.73,<0.050,792627.63,0.582,<0.0089,0.044,0.3,0.0043,6911.33,0.0406,<0.0032,4.28,0.9,2.5,0.92,106.74,0.56,0.046,1.48,0.04,36872.32,0.07,0.007,0.024,0.024,0.0028,317.58,0.0104,0.0026,0.2,1.14,3.18,1.17,101.35,0.607,0.0551,0.154,0.0499,0.364,0.0497,0.00887,0.0282,0.00984,0.00298,0.0215,0.0105,0.0032,0.00288
star trek-4-3 ,Borg4,Borgamba,Greisen,19/08/2009,119Sn,Borg-111,<1.12,1218.67,<1.15,<100.03,<0.62,<0.061,117.08,540.89,792729.94,0.339,<0.0083,<0.030,6.01,26.7,15.09,0.0258,<0.0030,0.687,0.9,179.84,0.92,88.1,0.48,0.048,14.4,57.22,36877.08,0.06,0.0066,0.024,0.28,1.16,0.74,0.0098,0.0024,0.036,1.12,3.11,1.15,100.03,0.62,0.0614,0.147,0.0486,0.374,0.0574,0.00831,0.0304,0.0111,0.00375,0.0357,0.0107,0.00296,0.00272
star trek-4-2 ,Borg4,Borgamba,Greisen,19/08/2009,119Sn,Borg-110,<1.05,<2.88,<1.08,415.05,0.74,<0.052,2.27,<0.044,783002.56,0.413,<0.0075,<0.026,0.0353,0.0062,9544.71,0.0284,<0.0026,2.318,0.88,2.4,0.9,124.86,0.52,0.042,0.34,0.038,36424.62,0.062,0.0062,0.024,0.0108,0.0026,438.58,0.0098,0.0022,0.114,1.05,2.88,1.08,92.95,0.585,0.0521,0.123,0.0442,0.358,0.0468,0.00752,0.0261,0.00943,0.0024,0.0265,0.00978,0.00256,0.00258
HC-5 ,HC1,Hayes Creek,Vein,19/08/2009,119Sn,HC78,9.36,1875.51,<1.07,<91.57,<0.56,<0.056,58.54,48.76,777882.88,2.47,<0.0081,<0.027,2.339,2.663,86,0.0118,<0.0024,5.22,1.74,276.56,0.88,75.14,0.46,0.044,7.22,5.18,36186.42,0.182,0.0066,0.022,0.116,0.12,4,0.0092,0.002,0.24,1.01,2.7,1.07,91.57,0.564,0.0565,0.137,0.044,0.337,0.0453,0.00813,0.0273,0.00739,0.00336,0.0271,0.0105,0.00244,0.00233
HC-4 ,HC1,Hayes Creek,Vein,19/08/2009,119Sn,HC77,10.84,1908.61,<1.01,<86.33,<0.53,<0.044,72.1,18.6,780757.75,1.03,<0.0079,0.0384,4.44,0.906,0.904,0.023,<0.0025,3.438,1.94,281.44,0.86,75.86,0.46,0.038,8.88,1.98,36320.16,0.094,0.0064,0.02,0.2,0.044,0.076,0.0092,0.0022,0.166,0.962,2.84,1.01,86.33,0.531,0.0441,0.12,0.0447,0.317,0.0415,0.00795,0.0209,0.00323,0.00287,0.0258,0.00937,0.00248,0.00303
HC-3 ,HC1,Hayes Creek,Vein,19/08/2009,119Sn,HC76,10.27,1818.82,<1.16,<98.39,<0.62,<0.055,70.4,17.34,784916.56,2.07,<0.0097,<0.039,3.956,0.759,0.935,0.1108,<0.0037,3.08,1.88,268.18,0.92,77.7,0.48,0.044,8.68,1.86,36513.6,0.154,0.0076,0.028,0.188,0.038,0.078,0.0144,0.0026,0.148,1.1,3.08,1.16,98.39,0.62,0.0547,0.154,0.0464,0.388,0.043,0.00968,0.0391,0.0106,0.00355,0.0364,0.0118,0.00369,0.00258
HC-6 ,HC1,Hayes Creek,Vein,19/08/2009,119Sn,HC79,<1.05,2122.72,<1.13,<95.04,<0.59,<0.049,52.14,181.17,784703.88,5.34,<0.0084,<0.025,2.192,7.34,354.39,0.018,<0.0026,8.98,0.84,312.92,0.96,88.38,0.46,0.04,6.44,19.18,36503.7,0.36,0.0068,0.022,0.11,0.32,16.32,0.0098,0.0022,0.42,1.05,2.8,1.13,95.04,0.59,0.0491,0.136,0.0395,0.384,0.0485,0.00845,0.0254,0.00952,0.0029,0.022,0.0116,0.00264,0.00222
trident1-5 ,Tri1,Trident,Pegmatite,19/08/2009,119Sn,Tr84,<1.16,210.95,34.86,537.33,1.69,<0.056,475.52,3847.77,783853.19,0.558,<0.0100,<0.030,60.68,1342.38,128.63,0.0288,<0.0029,1.024,0.94,31.64,5.02,152.36,0.6,0.048,58.36,406.9,36464.18,0.074,0.0078,0.024,2.68,57.96,5.96,0.011,0.0024,0.052,1.16,3.58,1.27,105.97,0.659,0.0562,0.145,0.0538,0.432,0.056,0.01,0.0305,0.00952,0.00301,0.0347,0.012,0.00294,0.00269
trident1-4 ,Tri1,Trident,Pegmatite,19/08/2009,119Sn,Tr83,<1.16,207.77,31.81,399.31,2.42,<0.065,454.02,3558.52,784254.88,0.312,0.0103,<0.025,57.72,1329.88,114.5,0.1057,0.0128,0.954,0.94,31.12,4.6,125.26,0.66,0.048,55.72,376.3,36482.84,0.06,0.0074,0.02,2.54,57.42,5.3,0.0146,0.0036,0.048,1.16,3.43,1.25,105.21,0.643,0.0646,0.173,0.0589,0.427,0.0582,0.00873,0.0252,0.0113,0.00378,0.0265,0.0121,0.00342,0.00255
trident1-2 ,Tri1,Trident,Pegmatite,19/08/2009,119Sn,Tr81,<1.10,388.92,224.71,3357.09,4.69,<0.056,910.32,10256.83,758585.38,0.242,<0.0090,<0.027,160.53,18630.67,134.78,0.0186,<0.0029,1.792,0.88,57.72,31.58,791.7,0.92,0.042,111.66,1084.58,35288.72,0.052,0.0074,0.022,7.06,804.28,6.24,0.01,0.0024,0.088,1.1,3.22,1.18,99.46,0.625,0.0558,0.143,0.0428,0.403,0.0528,0.00899,0.0272,0.0111,0.00306,0.0302,0.0116,0.00288,0.00259
