SPOT_ID,LOCALITY,SAMPLE,STYLE,IS,RELDIST,Source file,DateTime,Date,Time,Duration(s),Comments,Total points,Selection type,Components,Fe57_CPS,Fe57_CPS_Int2SE,Fe57_CPS_LOD,IntStdWv,IntStdWv_Int2SE,IntStdWv_LOD,Li_ppm_m7,Li_ppm_m7_Int2SE,Li_ppm_m7_LOD,Al_ppm_m27,Al_ppm_m27_Int2SE,Al_ppm_m27_LOD,Si_ppm_m29,Si_ppm_m29_Int2SE,Si_ppm_m29_LOD,P_ppm_m31,P_ppm_m31_Int2SE,P_ppm_m31_LOD,Ca_ppm_m44,Ca_ppm_m44_Int2SE,Ca_ppm_m44_LOD,Sc_ppm_m45,Sc_ppm_m45_Int2SE,Sc_ppm_m45_LOD,Ti_ppm_m49,Ti_ppm_m49_Int2SE,Ti_ppm_m49_LOD,V_ppm_m51,V_ppm_m51_Int2SE,V_ppm_m51_LOD,Cr_ppm_m52,Cr_ppm_m52_Int2SE,Cr_ppm_m52_LOD,Mn_ppm_m55,Mn_ppm_m55_Int2SE,Mn_ppm_m55_LOD,Co_ppm_m59,Co_ppm_m59_Int2SE,Co_ppm_m59_LOD,Ni_ppm_m60,Ni_ppm_m60_Int2SE,Ni_ppm_m60_LOD,Cu_ppm_m65,Cu_ppm_m65_Int2SE,Cu_ppm_m65_LOD,Zn_ppm_m66,Zn_ppm_m66_Int2SE,Zn_ppm_m66_LOD,Ga_ppm_m69,Ga_ppm_m69_Int2SE,Ga_ppm_m69_LOD,Ga_ppm_m71,Ga_ppm_m71_Int2SE,Ga_ppm_m71_LOD,Ge_ppm_m72,Ge_ppm_m72_Int2SE,Ge_ppm_m72_LOD,As_ppm_m75,As_ppm_m75_Int2SE,As_ppm_m75_LOD,m77__Cl_CPS,m77__Cl_CPS_Int2SE,m77__Cl_CPS_LOD,Se_ppm_m82,Se_ppm_m82_Int2SE,Se_ppm_m82_LOD,Kr83_CPS,Kr83_CPS_Int2SE,Kr83_CPS_LOD,Rb_ppm_m85,Rb_ppm_m85_Int2SE,Rb_ppm_m85_LOD,Sr_ppm_m88,Sr_ppm_m88_Int2SE,Sr_ppm_m88_LOD,Y_ppm_m89,Y_ppm_m89_Int2SE,Y_ppm_m89_LOD,Zr_ppm_m90,Zr_ppm_m90_Int2SE,Zr_ppm_m90_LOD,Nb_ppm_m93,Nb_ppm_m93_Int2SE,Nb_ppm_m93_LOD,Mo_ppm_m97,Mo_ppm_m97_Int2SE,Mo_ppm_m97_LOD,In_ppm_m113,In_ppm_m113_Int2SE,In_ppm_m113_LOD,Sn_ppm_m117,Sn_ppm_m117_Int2SE,Sn_ppm_m117_LOD,Sn_ppm_m119,Sn_ppm_m119_Int2SE,Sn_ppm_m119_LOD,Sb_ppm_m121,Sb_ppm_m121_Int2SE,Sb_ppm_m121_LOD,Cs_ppm_m133,Cs_ppm_m133_Int2SE,Cs_ppm_m133_LOD,Ba_ppm_m138,Ba_ppm_m138_Int2SE,Ba_ppm_m138_LOD,La_ppm_m139,La_ppm_m139_Int2SE,La_ppm_m139_LOD,Ce_ppm_m140,Ce_ppm_m140_Int2SE,Ce_ppm_m140_LOD,Nd_ppm_m146,Nd_ppm_m146_Int2SE,Nd_ppm_m146_LOD,Lu_ppm_m175,Lu_ppm_m175_Int2SE,Lu_ppm_m175_LOD,Hf_ppm_m179,Hf_ppm_m179_Int2SE,Hf_ppm_m179_LOD,Ta_ppm_m181,Ta_ppm_m181_Int2SE,Ta_ppm_m181_LOD,W_ppm_m182,W_ppm_m182_Int2SE,W_ppm_m182_LOD,W_ppm_m183,W_ppm_m183_Int2SE,W_ppm_m183_LOD,Tl_ppm_m205,Tl_ppm_m205_Int2SE,Tl_ppm_m205_LOD,Pb_ppm_m208,Pb_ppm_m208_Int2SE,Pb_ppm_m208_LOD,Bi_ppm_m209,Bi_ppm_m209_Int2SE,Bi_ppm_m209_LOD,Th_ppm_m232,Th_ppm_m232_Int2SE,Th_ppm_m232_LOD,U_ppm_m238,U_ppm_m238_Int2SE,U_ppm_m238_LOD,Fe_EPMA_ppm
BT_223,Blue Tier,BT1,Greisen,57Fe,5681.291852,Jason_cass_2,20/02/2018 (3) 18:14:40.92,20/02/2018 (3),14:40.9,29.316,BT_main_223,30,Normal,1,1.65E+04,1.50E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,41.4,3.1,1.7,2.93E+04,4.20E+03,NaN,132,38,NaN,Below LOD,Below LOD,110,3.2,0.39,0.35,1128,46,0.79,0.26,0.14,0.19,Below LOD,Below LOD,1.9,11.1,1.6,3.5,2.27,0.23,0.06,13.95,0.9,0.78,Below LOD,Below LOD,0.5,Below LOD,Below LOD,0.43,0.94,0.12,0.17,1.04,0.16,0.054,Below LOD,Below LOD,0.58,0.23,0.16,0.19,17,16,NaN,Below LOD,Below LOD,2.3,40,65,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.028,0.048,0.017,0.003,275,10,0.02,1128,45,0.016,Below LOD,Below LOD,0.11,0.78,0.17,0.15,1.29E+05,6.30E+03,1.6,1.13E+05,5.20E+03,2.2,7.7,3.2,0.081,0.258,0.055,0.069,0.083,0.031,0.021,0.052,0.02,0.0028,0.043,0.02,0.016,Below LOD,Below LOD,0.013,0.069,0.016,0.005,25.5,1.1,0.013,284,11,0.0061,25.7,1.3,0.028,25.8,2.2,0.03,Below LOD,Below LOD,0.0095,Below LOD,Below LOD,0.043,Below LOD,Below LOD,0.016,Below LOD,Below LOD,0.0028,8.51,0.37,0.0024,988.875
BT_224,Blue Tier,BT1,Greisen,57Fe,5705.398995,Jason_cass_2,20/02/2018 (3) 18:15:51.39,20/02/2018 (3),15:51.4,29.066,BT_main_224,30,Normal,1,1.56E+04,1.30E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.22,31.4,1.5,1.7,2.86E+04,4.10E+03,NaN,128,47,NaN,Below LOD,Below LOD,110,4.84,0.49,0.33,1541,65,0.9,0.39,0.12,0.2,Below LOD,Below LOD,2,10.7,1.3,3.6,2.15,0.22,0.072,14.5,1.3,0.78,Below LOD,Below LOD,0.57,Below LOD,Below LOD,0.5,0.98,0.13,0.17,1.03,0.2,0.015,Below LOD,Below LOD,0.64,Below LOD,Below LOD,0.29,-3.5,6.2,NaN,Below LOD,Below LOD,2.4,-16,60,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.031,0.052,0.021,0.017,226.3,8.6,0.033,1209,49,0.011,Below LOD,Below LOD,0.027,0.85,0.22,0.2,1.27E+05,4.10E+03,1.2,1.13E+05,4.70E+03,1.4,8.8,3.4,0.11,0.285,0.065,0.069,0.069,0.029,0.022,0.074,0.024,0.0082,0.032,0.012,0.013,Below LOD,Below LOD,0.038,0.074,0.018,0.011,25.5,1.5,0.013,415,17,0.011,22.6,1.1,0.008,23.9,1.8,0.086,Below LOD,Below LOD,0.021,Below LOD,Below LOD,0.05,Below LOD,Below LOD,0.036,Below LOD,Below LOD,0.018,8.46,0.38,0.013,945.0933333
BT_225,Blue Tier,BT1,Greisen,57Fe,5733.538163,Jason_cass_2,20/02/2018 (3) 18:17:01.61,20/02/2018 (3),17:01.6,29.044,BT_main_225,29,Normal,1,1.49E+04,1.30E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.19,29,1.2,1.8,2.04E+04,3.50E+03,NaN,87,30,NaN,Below LOD,Below LOD,110,4.05,0.45,0.32,1384,43,0.88,0.248,0.097,0.17,Below LOD,Below LOD,1.9,11,1.5,3.4,2.13,0.2,0.071,12.76,0.86,0.71,Below LOD,Below LOD,0.63,1.3,2.1,0.52,0.82,0.12,0.16,1,0.15,0.094,Below LOD,Below LOD,0.59,Below LOD,Below LOD,0.26,8,11,NaN,Below LOD,Below LOD,2.2,38,57,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.029,0.043,0.017,0.0079,199.3,6.3,0.016,1067,47,0.0029,Below LOD,Below LOD,0.026,0.75,0.18,0.2,1.21E+05,4.40E+03,0.97,1.07E+05,4.00E+03,1.1,8.4,3.3,0.098,0.221,0.039,0.068,0.083,0.029,0.023,0.06,0.019,0.0096,0.027,0.014,0.015,Below LOD,Below LOD,0.013,0.071,0.016,0.0071,25.2,1.1,0.035,596,22,0.0047,20.09,0.85,0.031,20.7,1.6,0.029,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.054,Below LOD,Below LOD,0.026,Below LOD,Below LOD,0.0094,6.45,0.29,0.0065,841.8133333
BT_226,Blue Tier,BT1,Greisen,57Fe,5754.117504,Jason_cass_2,20/02/2018 (3) 18:18:11.75,20/02/2018 (3),18:11.8,29.041,BT_main_226,29,Normal,1,1.72E+04,1.70E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.17,31,1.4,1.5,2.41E+04,2.70E+03,NaN,77,36,NaN,Below LOD,Below LOD,100,4,0.27,0.33,1259,46,0.72,0.39,0.1,0.16,2.49,0.89,1.8,13.5,1.5,3.2,1.94,0.16,0.052,12.4,1.2,0.66,Below LOD,Below LOD,0.51,Below LOD,Below LOD,0.38,0.86,0.12,0.16,0.96,0.19,0.014,Below LOD,Below LOD,0.5,Below LOD,Below LOD,0.2,12,12,NaN,Below LOD,Below LOD,2.1,14,56,NaN,Below LOD,Below LOD,0.11,Below LOD,Below LOD,0.025,0.056,0.015,0.0026,209.4,6.3,0.015,1152,48,0.0075,Below LOD,Below LOD,0.067,0.84,0.18,0.14,1.14E+05,4.80E+03,1.6,1.00E+05,4.20E+03,1.7,10.7,3.6,0.085,0.234,0.047,0.058,0.062,0.026,0.023,0.056,0.016,0.0025,0.028,0.012,0.015,Below LOD,Below LOD,0.012,0.069,0.017,0.0016,24.12,0.72,0.012,617,26,0.0064,22.8,1.1,0.025,23.7,1.5,0.026,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.039,Below LOD,Below LOD,0.025,Below LOD,Below LOD,0.0069,7.61,0.3,0.0022,904.515
BT_227,Blue Tier,BT1,Greisen,57Fe,5782.330942,Jason_cass_2,20/02/2018 (3) 18:19:21.91,20/02/2018 (3),19:21.9,29.038,BT_main_227,30,Normal,1,1.93E+04,1.90E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,30.9,2.1,1.6,2.22E+04,3.80E+03,NaN,85,44,NaN,Below LOD,Below LOD,110,5.93,0.36,0.34,1656,71,0.77,0.44,0.16,0.17,Below LOD,Below LOD,1.9,19.2,1.3,3.4,2.2,0.26,0.058,13.2,1.1,0.77,Below LOD,Below LOD,0.57,Below LOD,Below LOD,0.61,0.85,0.11,0.17,0.99,0.15,0.015,Below LOD,Below LOD,0.55,Below LOD,Below LOD,0.22,-9.224,0.002,NaN,Below LOD,Below LOD,2.3,1,59,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.032,0.082,0.025,0.0028,224,11,0.032,1532,72,0.0029,Below LOD,Below LOD,0.072,0.84,0.24,0.18,1.23E+05,5.80E+03,1.8,1.09E+05,6.10E+03,2,10,3.8,0.089,0.269,0.046,0.067,0.113,0.026,0.024,0.054,0.016,0.0027,0.028,0.014,0.014,Below LOD,Below LOD,0.013,0.12,0.025,0.0017,30.2,1.2,0.013,670,220,0.0059,26.5,2.6,0.021,30.4,1.7,0.029,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.036,Below LOD,Below LOD,0.023,Below LOD,Below LOD,0.0027,8.92,0.36,0.0023,1113.806667
BT_228,Blue Tier,BT1,Greisen,57Fe,5803.764163,Jason_cass_2,20/02/2018 (3) 18:20:32.08,20/02/2018 (3),20:32.1,29.072,BT_main_228,29,Normal,1,2.21E+04,1.80E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.19,29.1,1.8,1.7,2.15E+04,3.70E+03,NaN,64,52,NaN,Below LOD,Below LOD,110,9.97,0.85,0.35,2032,88,0.96,0.61,0.15,0.17,2.28,0.92,1.9,23.8,1.8,3.5,2.12,0.21,0.069,13.5,1.2,0.76,Below LOD,Below LOD,1.7,Below LOD,Below LOD,0.47,0.88,0.12,0.18,1.08,0.16,0.015,Below LOD,Below LOD,0.56,Below LOD,Below LOD,0.21,11,13,NaN,Below LOD,Below LOD,2.1,-7,53,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.024,0.088,0.026,0.003,238.8,9,0.035,1510,230,0.012,1.8,3.5,0.12,1.09,0.23,0.2,1.21E+05,3.90E+03,1.8,1.07E+05,3.60E+03,2.1,11.2,4.4,0.093,0.274,0.069,0.073,0.12,0.04,0.03,0.062,0.017,0.0099,0.025,0.013,0.015,Below LOD,Below LOD,0.013,0.124,0.023,0.005,32.3,1.1,0.013,344,10,0.0086,32.7,4.3,0.008,34.1,1.6,0.03,Below LOD,Below LOD,0.017,Below LOD,Below LOD,0.069,Below LOD,Below LOD,0.018,Below LOD,Below LOD,0.0028,9.7,0.35,0.0024,1287.445
BT_229,Blue Tier,BT1,Greisen,57Fe,5831.892706,Jason_cass_2,20/02/2018 (3) 18:21:42.27,20/02/2018 (3),21:42.3,29.046,BT_main_229,29,Normal,1,3.22E+04,2.50E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.22,73.5,3,2.1,2.71E+04,4.00E+03,NaN,61,61,NaN,Below LOD,Below LOD,140,16.21,0.93,0.44,3270,100,0.98,1.97,0.28,0.23,2.6,1.3,2.4,40,2.4,4.3,2.73,0.18,0.089,16.6,1.3,0.96,Below LOD,Below LOD,5,Below LOD,Below LOD,0.77,2.14,0.22,0.21,2.47,0.23,0.019,Below LOD,Below LOD,0.66,Below LOD,Below LOD,0.23,17,14,NaN,Below LOD,Below LOD,2.9,11,46,NaN,Below LOD,Below LOD,0.15,Below LOD,Below LOD,0.044,0.185,0.034,0.01,441,18,0.025,1420,500,0.017,24,16,0.11,2.14,0.44,0.24,1.54E+05,4.50E+03,2.8,1.37E+05,4.20E+03,2.7,15.9,5.8,0.11,0.391,0.079,0.087,0.116,0.04,0.044,0.085,0.026,0.012,0.023,0.018,0.015,Below LOD,Below LOD,0.016,0.23,0.036,0.0022,43.3,2.2,0.016,549,14,0.011,58.7,7.5,0.0099,85.2,4.5,0.1,Below LOD,Below LOD,0.017,Below LOD,Below LOD,0.069,Below LOD,Below LOD,0.025,Below LOD,Below LOD,0.0034,29.59,0.7,0.003,2373.546667
BT_230,Blue Tier,BT1,Greisen,57Fe,5855.106991,Jason_cass_2,20/02/2018 (3) 18:22:52.43,20/02/2018 (3),22:52.4,29.042,BT_main_230,29,Normal,1,3.09E+04,3.50E+03,NaN,0.4,1,NaN,Below LOD,Below LOD,0.34,106.4,5.8,3.9,5.51E+04,8.90E+03,NaN,165,78,NaN,Below LOD,Below LOD,230,16.17,0.86,0.66,6070,400,0.33,2.17,0.34,0.36,6.4,2.6,3.9,53.9,3.2,7.2,4.32,0.46,0.18,28.6,2.5,1.6,Below LOD,Below LOD,1.5,Below LOD,Below LOD,0.82,3.45,0.32,0.34,3.84,0.55,0.032,Below LOD,Below LOD,1.1,Below LOD,Below LOD,0.39,-1.7,7.2,NaN,Below LOD,Below LOD,4,56,68,NaN,Below LOD,Below LOD,0.3,Below LOD,Below LOD,0.067,0.235,0.042,0.0061,690,22,0.012,2530,630,0.054,20,16,0.055,2.25,0.56,0.44,2.63E+05,1.50E+04,7.3,2.33E+05,1.40E+04,9.6,20.9,8.3,0.23,0.49,0.077,0.13,0.153,0.054,0.0097,0.096,0.033,0.0058,0.029,0.021,0.0056,Below LOD,Below LOD,0.027,0.238,0.045,0.024,64.7,3.8,0.027,923,34,0.0036,59,10,0.016,71,9.6,0.061,Below LOD,Below LOD,0.045,0.074,0.064,0.022,Below LOD,Below LOD,0.039,Below LOD,Below LOD,0.0057,17.1,4.2,0.005,3682.39
BT_231,Blue Tier,BT1,Greisen,57Fe,5879.280181,Jason_cass_2,20/02/2018 (3) 18:26:23.01,20/02/2018 (3),26:23.0,29.083,BT_main_231,30,Normal,1,2.26E+04,1.50E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.12,30.5,1.7,1.2,1.92E+04,2.90E+03,NaN,70,29,NaN,Below LOD,Below LOD,75,3.65,0.23,0.24,1680,66,0.11,0.49,0.11,0.11,1.76,0.68,1.3,9.55,0.92,2.4,1.43,0.16,0.041,8.48,0.77,0.56,Below LOD,Below LOD,0.49,Below LOD,Below LOD,0.3,0.97,0.1,0.12,1.05,0.17,0.01,Below LOD,Below LOD,0.37,Below LOD,Below LOD,0.12,9,11,NaN,Below LOD,Below LOD,1.5,16,59,NaN,Below LOD,Below LOD,0.078,0.018,0.017,0.014,0.038,0.012,0.0071,191.6,7.1,0.018,869,27,0.0073,0.099,0.055,0.018,0.67,0.15,0.016,8.24E+04,2.80E+03,0.88,7.20E+04,2.80E+03,1.1,7.9,3,0.058,0.172,0.035,0.043,0.044,0.018,0.02,0.0292,0.0088,0.0019,0.0269,0.0095,0.01,Below LOD,Below LOD,0.0088,0.045,0.01,0.0012,18.8,1.1,0.0088,226,55,0.0012,15.8,3,0.025,11.6,0.75,0.02,Below LOD,Below LOD,0.011,Below LOD,Below LOD,0.044,Below LOD,Below LOD,0.019,Below LOD,Below LOD,0.0018,1.892,0.093,0.0016,900.835
BT_232,Blue Tier,BT1,Greisen,57Fe,5903.837811,Jason_cass_2,20/02/2018 (3) 18:27:42.98,20/02/2018 (3),27:43.0,19.41,BT_main_232,19,Normal,1,1.77E+04,1.50E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.3,51.7,3,2.5,3.07E+04,7.40E+03,NaN,119,77,NaN,Below LOD,Below LOD,170,5.96,0.72,0.55,2710,130,0.88,0.79,0.24,0.3,Below LOD,Below LOD,2.9,17.5,1.8,5.3,2.73,0.39,0.11,17.2,2.1,1.2,Below LOD,Below LOD,0.95,Below LOD,Below LOD,0.66,1.43,0.15,0.27,1.96,0.32,0.12,Below LOD,Below LOD,1,Below LOD,Below LOD,0.47,12,16,NaN,Below LOD,Below LOD,3.5,13,80,NaN,Below LOD,Below LOD,0.19,Below LOD,Below LOD,0.041,0.05,0.022,0.02,336,19,0.012,1483,87,0.0062,Below LOD,Below LOD,0.15,1.14,0.43,0.28,1.58E+05,8.50E+03,1.5,1.40E+05,8.30E+03,1.9,13.5,7.3,0.17,0.332,0.083,0.11,0.084,0.042,0.042,0.072,0.035,0.0059,0.022,0.02,0.019,Below LOD,Below LOD,0.027,0.09,0.022,0.0099,32.2,1.5,0.027,1050,240,0.012,19.3,1.2,0.016,19,1.7,0.16,Below LOD,Below LOD,0.024,Below LOD,Below LOD,0.45,0.049,0.021,0.044,Below LOD,Below LOD,0.015,2.61,0.2,0.005,1463.926667
BT_233,Blue Tier,BT1,Greisen,57Fe,5928.011001,Jason_cass_2,20/02/2018 (3) 18:28:43.48,20/02/2018 (3),28:43.5,14.594,BT_main_233,14,Normal,1,4.08E+04,5.80E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.2,65.9,4.8,1.7,2.78E+04,5.10E+03,NaN,86,58,NaN,Below LOD,Below LOD,110,5.32,0.68,0.34,2240,210,1,0.51,0.18,0.18,2.4,1.9,1.9,17.1,1.7,3.4,2.12,0.32,0.063,13.2,2.1,0.73,Below LOD,Below LOD,0.6,Below LOD,Below LOD,0.43,2.2,0.22,0.17,2.38,0.28,0.025,Below LOD,Below LOD,0.56,Below LOD,Below LOD,0.29,21,24,NaN,Below LOD,Below LOD,2.2,-13,65,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.029,0.069,0.024,0.014,309,25,0.024,990,490,0.014,12,11,0.091,1.51,0.46,0.19,1.17E+05,1.30E+04,0.99,1.02E+05,1.30E+04,1.2,8.3,5,0.11,0.223,0.057,0.067,0.064,0.041,0.016,0.045,0.024,0.012,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.055,0.093,0.023,0.003,28.3,3,0.022,274,27,0.0072,23.9,3.1,0.041,26.5,1.9,0.1,Below LOD,Below LOD,0.025,Below LOD,Below LOD,0.059,Below LOD,Below LOD,0.032,Below LOD,Below LOD,0.0046,3.39,0.21,0.01,1854.125
BT_234,Blue Tier,BT1,Greisen,57Fe,5951.225287,Jason_cass_2,20/02/2018 (3) 18:29:53.67,20/02/2018 (3),29:53.7,29.163,BT_main_234,30,Normal,1,3.55E+04,2.60E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.22,74.3,3.8,1.7,2.39E+04,4.10E+03,NaN,100,50,NaN,Below LOD,Below LOD,120,5.87,0.46,0.34,2230,110,0.58,0.46,0.14,0.2,2.1,1.3,2,20.7,1.9,3.6,2.31,0.25,0.08,14,1.3,0.79,Below LOD,Below LOD,0.63,Below LOD,Below LOD,0.58,2.57,0.2,0.18,2.74,0.26,0.072,0.85,0.36,0.69,Below LOD,Below LOD,0.32,-2.2,7,NaN,Below LOD,Below LOD,2.3,-4,48,NaN,Below LOD,Below LOD,0.13,Below LOD,Below LOD,0.031,0.088,0.023,0.016,335,19,0.028,1630,340,0.015,5.5,6,0.076,1.78,0.34,0.19,1.30E+05,7.60E+03,0.94,1.15E+05,7.40E+03,1.2,12.1,4.3,0.13,0.284,0.075,0.068,0.059,0.026,0.029,0.059,0.021,0.0081,0.025,0.015,0.018,0.022,0.018,0.013,0.108,0.017,0.0076,31.3,2.3,0.013,356,29,0.011,30.2,3.7,0.023,33.4,2.1,0.03,Below LOD,Below LOD,0.024,Below LOD,Below LOD,0.03,Below LOD,Below LOD,0.037,Below LOD,Below LOD,0.014,3.88,0.27,0.01,2140.975
BT_235,Blue Tier,BT1,Greisen,57Fe,5978.936241,Jason_cass_2,20/02/2018 (3) 18:31:14.05,20/02/2018 (3),31:14.1,5.9788,BT_main_235,6,Normal,1,2.44E+04,2.10E+03,NaN,0.2,1,NaN,Below LOD,Below LOD,0.51,73,10,4.4,4.29E+04,4.00E+03,NaN,250,110,NaN,Below LOD,Below LOD,300,8.4,1.3,0.97,3820,310,2.5,1.3,0.32,0.51,Below LOD,Below LOD,5.1,26.7,5.8,9.2,3.41,0.83,0.22,22.3,3.2,2.1,Below LOD,Below LOD,2,Below LOD,Below LOD,1.6,2.13,0.42,0.46,1.96,0.3,0.17,Below LOD,Below LOD,1.6,Below LOD,Below LOD,0.65,-1,17,NaN,Below LOD,Below LOD,6.2,180,54,NaN,Below LOD,Below LOD,0.34,Below LOD,Below LOD,0.094,0.127,0.083,0.034,461,30,0.084,2540,250,0.036,Below LOD,Below LOD,0.33,1.34,0.53,0.59,2.04E+05,1.60E+04,2.3,1.86E+05,1.20E+04,2.7,21,16,0.26,0.511,0.093,0.19,0.23,0.11,0.075,0.056,0.036,0.034,Below LOD,Below LOD,0.041,Below LOD,Below LOD,0.12,0.095,0.043,0.018,44.1,6.7,0.12,462,65,0.016,48,20,0.084,34.3,3.7,0.26,Below LOD,Below LOD,0.057,Below LOD,Below LOD,0.19,Below LOD,Below LOD,0.078,0.07,0.077,0.025,4.5,0.47,0.023,2325.935
BT_236,Blue Tier,BT1,Greisen,57Fe,6004.41789,Jason_cass_2,20/02/2018 (3) 18:32:18.63,20/02/2018 (3),32:18.6,22.782,BT_main_236,23,Normal,1,1.86E+04,1.20E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.25,55.6,5.5,2.2,3.29E+04,4.20E+03,NaN,136,71,NaN,Below LOD,Below LOD,160,4.13,0.52,0.48,2280,360,0.95,0.54,0.21,0.24,Below LOD,Below LOD,2.6,12.3,2.6,4.7,2.89,0.25,0.1,17.9,2,1,Below LOD,Below LOD,0.98,Below LOD,Below LOD,0.77,1.8,0.28,0.23,1.96,0.37,0.051,Below LOD,Below LOD,0.77,Below LOD,Below LOD,0.31,5,13,NaN,Below LOD,Below LOD,3,-9,72,NaN,Below LOD,Below LOD,0.17,Below LOD,Below LOD,0.04,0.05,0.024,0.011,375,24,0.03,1270,120,0.012,Below LOD,Below LOD,0.11,1.73,0.44,0.25,1.63E+05,1.50E+04,1.1,1.44E+05,1.20E+04,1.3,13.2,5.4,0.12,0.42,0.077,0.092,0.16,0.047,0.028,0.083,0.035,0.011,0.043,0.021,0.015,Below LOD,Below LOD,0.031,0.085,0.019,0.005,38.7,2.8,0.035,840,160,0.0043,25.7,2.6,0.026,26.7,3.2,0.069,Below LOD,Below LOD,0.022,Below LOD,Below LOD,0.074,Below LOD,Below LOD,0.034,Below LOD,Below LOD,0.0065,5.1,1.1,0.0063,1449.09
BT_237,Blue Tier,BT1,Greisen,57Fe,6028.726735,Jason_cass_2,20/02/2018 (3) 18:33:24.48,20/02/2018 (3),33:24.5,29.083,BT_main_237,29,Normal,1,1.65E+04,2.00E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.18,46.7,2.3,1.5,1.83E+04,4.30E+03,NaN,84,48,NaN,Below LOD,Below LOD,110,4.42,0.46,0.33,804,86,0.63,0.46,0.12,0.17,2,1.3,1.8,5.8,1.5,3.3,2.1,0.27,0.069,13.5,1.3,0.71,Below LOD,Below LOD,0.68,Below LOD,Below LOD,0.53,1.19,0.14,0.16,1.31,0.19,0.033,Below LOD,Below LOD,0.53,Below LOD,Below LOD,0.21,14,16,NaN,Below LOD,Below LOD,2.1,-23,57,NaN,Below LOD,Below LOD,0.12,Below LOD,Below LOD,0.027,0.0213,0.0097,0.007,275,11,0.02,460,37,0.0078,Below LOD,Below LOD,0.071,1.81,0.28,0.17,1.19E+05,8.00E+03,0.78,1.06E+05,7.10E+03,0.91,10.5,3.7,0.082,0.275,0.06,0.064,0.112,0.035,0.019,0.062,0.019,0.0073,0.034,0.013,0.01,Below LOD,Below LOD,0.019,0.031,0.011,0.0031,26.7,1.7,0.022,147,14,0.0027,19.2,1.6,0.016,20.2,2.4,0.042,Below LOD,Below LOD,0.015,Below LOD,Below LOD,0.05,Below LOD,Below LOD,0.023,Below LOD,Below LOD,0.004,4.1,0.59,0.004,912.98
BT_238,Blue Tier,BT1,Greisen,57Fe,6054.364332,Jason_cass_2,20/02/2018 (3) 18:34:34.72,20/02/2018 (3),34:34.7,29.132,BT_main_238,30,Normal,1,1.22E+04,2.20E+03,NaN,0.1,1,NaN,Below LOD,Below LOD,0.21,26.5,2.9,1.8,3.11E+04,5.50E+03,NaN,132,78,NaN,Below LOD,Below LOD,130,8.99,0.87,0.39,1915,83,0.73,0.68,0.21,0.2,Below LOD,Below LOD,2.2,10.8,2,3.8,2.55,0.47,0.08,18.4,3.1,0.82,Below LOD,Below LOD,0.79,Below LOD,Below LOD,0.62,0.9,0.14,0.18,1.1,0.25,0.038,Below LOD,Below LOD,0.62,Below LOD,Below LOD,0.25,8.7,9.5,NaN,Below LOD,Below LOD,2.4,47,56,NaN,Below LOD,Below LOD,0.14,Below LOD,Below LOD,0.032,0.042,0.018,0.0081,246,13,0.023,771,65,0.0091,Below LOD,Below LOD,0.083,1.62,0.36,0.2,1.60E+05,1.90E+04,0.91,1.41E+05,1.70E+04,1.1,12.9,6.1,0.095,0.319,0.082,0.074,0.094,0.033,0.022,0.074,0.023,0.0084,0.034,0.016,0.012,0.023,0.028,0.022,0.048,0.015,0.0036,40.8,3.5,0.025,636,51,0.0031,13.8,2.4,0.019,13.4,2.4,0.049,Below LOD,Below LOD,0.017,Below LOD,Below LOD,0.058,Below LOD,Below LOD,0.027,Below LOD,Below LOD,0.0046,4.3,1.3,0.0046,780.04
